name,rmse1,rmse_detrend1,rmse_detrend_Tissue1,rmse_detrend_Blood1,rmse_detrend_DGM1,rmse2,rmse_detrend2,rmse_detrend_Tissue2,rmse_detrend_Blood2,rmse_detrend_DGM2,algo_type
'9feq374hD2_Sim1_Step1.nii.gz',58.440472,68.849762,93.521797,108.16502,30.417706,50.923061,59.111355,62.278824,113.20415,34.886593,Spatial-domain iterative reconstruction
'9feq374hs0_Sim1_Step1.nii.gz',243.81416,253.23352,364.16525,210.03987,117.29125,161.05367,177.60167,196.41695,230.81615,139.41687,Inverse filtering (TKD-like)
'9feq374hs1_Sim1_Step1.nii.gz',57.222771,68.520302,93.533226,105.03062,29.464809,51.291473,59.672253,63.136406,115.0077,33.822983,Spatial-domain iterative reconstruction
'9feq374hs2_Sim1_Step1.nii.gz',60.222004,70.841385,96.914307,108.33575,30.819603,51.752888,60.299458,63.933865,113.53092,35.492668,Spatial-domain iterative reconstruction
'9feq374hs3_Sim1_Step1.nii.gz',68.883591,89.634033,134.41127,132.25284,37.295807,63.385193,81.741745,88.522522,144.7155,45.978077,Spatial-domain iterative reconstruction
'9feq374hs4_Sim1_Step1.nii.gz',62.816891,71.864502,95.908089,107.23721,33.494671,50.165653,57.180408,59.878429,108.72575,37.35413,Spatial-domain iterative reconstruction
'9feq374hs5_Sim1_Step1.nii.gz',59.755898,74.510635,98.777237,89.492905,41.596989,56.613274,67.093887,71.459419,116.25381,48.562706,Inverse filtering (TKD-like)
'9u67upxwlc_Sim1_Step1.nii',73.288742,106.76673,160.68134,228.03738,48.065605,73.441147,107.63004,116.73172,260.87891,57.062817,Deep Learning
'9uErOsxGtr_Sim1_Step1.nii',65.385925,85.543381,125.24185,149.08389,28.92606,65.709351,83.00563,86.826454,189.89902,40.385616,Deep Learning
'9xFaMbtDhf_Sim1_Step1.nii',109.20683,92.011169,124.6855,135.38116,51.09116,87.450371,78.993073,85.068169,154.14949,56.708755,Closed-form direct solution
'afSUtizb40_Sim1_Step1.nii',57.523865,67.849159,95.828773,109.0018,29.451748,58.309509,66.51989,70.652771,122.55001,35.108421,Deep Learning
'AhSiw67Vje_Sim1_Step1.nii',68.821663,89.697296,154.43791,110.96754,36.892315,68.933197,95.015701,107.71391,170.61279,38.309261,Deep Learning
'aikOpF4Znc_Sim1_Step1.nii.gz',37.077499,37.966587,48.840672,74.790649,21.00947,30.826712,32.121914,33.813435,71.730713,23.397604,Spatial-domain iterative reconstruction
'AZ09AkuCl7_Sim1_Step1.nii',55.630226,64.584419,93.246346,99.69313,27.720972,55.649368,63.083603,67.813446,119.51147,33.349796,Deep Learning
'bR2Oi0ZCZi_Sim1_Step1.nii',61.312328,77.149139,93.861885,162.5432,47.600239,54.558949,64.426376,62.145924,196.73235,50.509777,Spatial-domain iterative reconstruction
'BZA1ZHG0K7_Sim1_Step1.nii',66.356049,87.45491,128.24367,145.96165,30.3335,67.853348,86.525826,91.698273,190.70494,41.262012,Deep Learning
'bZiPPIuSJE_Sim1_Step1.nii.gz',66.57415,85.421021,138.66791,107.37872,31.452902,65.176567,85.571548,95.967728,168.30411,38.27206,Deep Learning
'C5ZIL266xE_Sim1_Step1.nii',57.056824,67.566643,98.276543,105.84335,27.152765,56.581047,65.055664,69.787468,120.51801,31.626429,Deep Learning
'C6YXKRRr2L_Sim1_Step1.nii',71.761749,96.09996,138.27153,140.47581,52.267021,70.154602,97.617928,109.77341,162.21472,52.4487,Inverse filtering (TKD-like)
'c9YXGTUfps_Sim1_Step1.nii',60.100246,67.583969,93.996361,106.31229,27.542986,58.788174,64.522011,66.992043,126.36922,32.575306,Deep Learning
'cbi99GQHhl_Sim1_Step1.nii',110.10426,121.46234,181.75813,136.74492,43.288868,81.138359,90.650322,99.065727,153.99193,54.003429,Deep Learning
